ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
8784237149961904,2021-07,6.489739323990022e-05
8784237149961904,2021-07,6.67402224483676e-05
8784237149961904,2021-07,5.790289541874916e-06
8784237149961904,2021-08,7.7824446560385e-06
8784237149961904,2021-08,8.457136154217914e-05
8784237149961904,2021-08,3.963429933580667e-08
8784237149961904,2021-08,4.7190595586254686e-05
8784237149961904,2021-08,1.7511084174954012e-06
8784237149961904,2021-08,2.0787491803111307e-06
8784237149961904,2021-08,1.251485213891403e-05
8784237149961904,2021-08,1.646590491729514e-06
8784237149961904,2021-09,1.0761550136813904e-05
8784237149961904,2021-09,6.652742328373187e-06
8784237149961904,2021-09,5.499466826032676e-06
8784237149961904,2021-10,6.577925454288737e-05
8784237149961904,2021-10,6.088032402524881e-05
8784237149961904,2021-10,2.335158334904481e-05
8784237149961904,2021-10,4.285014512473202e-05
8784237149961904,2021-10,1.8888833877903478e-07
8784237149961904,2021-10,1.6150012475337719e-07
8784237149961904,2021-11,1.312748309088451e-07
8784237149961904,2021-11,6.943132893241146e-07
8784237149961904,2021-11,5.146042216891528e-07
8784237149961904,2021-11,2.670407222679734e-07
8784237149961904,2021-11,1.728700141705328e-07
15070048310374146,2021-07,3.2951828657743857e-06
15070048310374146,2021-08,1.7484778165342606e-06
15070048310374146,2021-08,1.3331510582592375e-06
15070048310374146,2021-09,4.488694075883644e-06
15070048310374146,2021-10,1.0975983336269175e-06
15070048310374146,2021-10,1.3778254567318707e-06
18719614953021044,2021-08,6.677760473771309e-06
18719614953021044,2021-09,1.8125258002631202e-05
39547025441582855,2021-07,0.01779544204699622
39547025441582855,2021-08,2.317289040237972e-06
39547025441582855,2021-08,6.748048244910336e-06
39547025441582855,2021-08,7.712885262396491e-06
39547025441582855,2021-09,0.0002351579705605674
39547025441582855,2021-09,0.00012750073351307754
39547025441582855,2021-09,0.00011615512865772964
39547025441582855,2021-10,3.096330867644837e-05
39547025441582855,2021-10,7.996965380649994e-06
39547025441582855,2021-11,0.00024254964473075137
49632905576538927,2021-07,7.90181521925963e-06
49632905576538927,2021-08,2.389211095438073e-05
49632905576538927,2021-11,5.900121645232369e-05
51762959302415533,2021-09,1.1005911896377869e-05
51762959302415533,2021-10,1.1081437877431398e-05
66220087398241662,2021-08,0.0004749305464174438
66220087398241662,2021-09,0.0004046787256780249
66220087398241662,2021-09,0.00018239256169320413
66220087398241662,2021-09,0.0014240167026484448
66220087398241662,2021-10,0.00019542391437566418
66220087398241662,2021-10,0.00023996863728237725
66220087398241662,2021-10,0.0010501888055171721
66220087398241662,2021-11,0.0011136228052815913
66220087398241662,2021-11,9.077486200033116e-05
66220087398241662,2021-11,0.0008225860739093009
69766362497027920,2021-07,0.0004322102507959725
69766362497027920,2021-08,0.0002522762452022605
69766362497027920,2021-08,0.0002645201512597697
69766362497027920,2021-09,0.0008970372148762408
69766362497027920,2021-09,0.0006039152937802003
69766362497027920,2021-09,0.0015975047207578046
69766362497027920,2021-10,0.0009627661211843834
86110062990790869,2021-07,0.0008083686410883576
86110062990790869,2021-07,0.0012986970335096566
86110062990790869,2021-08,0.00031054103163584266
86110062990790869,2021-08,0.00023826999410103128
86110062990790869,2021-09,0.10637052241819085
86110062990790869,2021-09,0.00124882104040409
86110062990790869,2021-09,0.004290233205575785
86110062990790869,2021-09,0.008936619873463478
86110062990790869,2021-10,0.004500636263506509
86110062990790869,2021-10,0.039642346191007365
89342157110910412,2021-10,4.92286277659801e-05
89342157110910412,2021-10,2.3061157725954207e-05
93982185886107798,2021-07,1.1247472748780609e-05
93982185886107798,2021-07,3.627916188225498e-06
93982185886107798,2021-07,4.288105278671125e-06
